"","depth.corrected","Ice.age..GT4.","Dust.Conc..ppm."
"251",2023,145226,0.973
"252",2024,145337,0.673
"253",2025,145449,0.738
"254",2032,146242,0.528
"255",2043,147459,0.423
"256",2049,148141,0.77
"257",2052,148471,0.158
"258",2063,149679,0.265
"259",2069,150333,0.55
"260",2074,150868,0.418
"261",2080,151502,0.325
"262",2081,151611,0.318
"263",2089,152513,0.313
"264",2098,153523,0.871
"265",2103,154094,0.305
"266",2111,155029,1.177
"267",2119,155983,1.228
"268",2128,157080,0.671
"269",2135,157909,0.715
"270",2143,158815,0.426
"271",2151,159651,0.13
"272",2160,160626,0.237
"273",2168,161545,0.728
"274",2176,162440,0.238
"275",2184,163318,0.22
"276",2191,164136,0.36
"277",2199,165148,0.618
"278",2202,165522,0.092
"279",2208,166284,0.271
"280",2217,167414,0.115
"281",2225,168391,0.154
"282",2232,169201,0.073
"283",2241,170221,0.151
"284",2248,171040,0.284
"285",2256,172004,0.307
"286",2264,173027,0.025
"287",2272,173988,0.105
"288",2280,174920,0.142
"289",2287,175746,0.232
"290",2294,176630,0.391
"291",2308,178417,0.341
"292",2325,180546,0.202
"293",2325,180546,0.067
"294",2333,181502,0.138
"295",2342,182694,0.236
"296",2348,183525,0.561
"297",2356,184641,0.715
"298",2364,185788,0.761
"299",2373,187067,0.274
"300",2387,189030,0.147
"301",2398,190469,0.05
"302",2400,190705,0.055
"303",2404,191156,0.016
"304",2410,191895,0.114
"305",2414,192382,0.067
"306",2420,193152,0.142
"307",2425,193816,0.141
"308",2430,194444,0.052
"309",2434,194926,0.104
"310",2440,195676,0.113
"311",2444,196202,0.221
"312",2451,197086,0.067
"313",2454,197462,0.111
"314",2459,198075,0.114
"315",2462,198426,0.074
"316",2471,199452,0.047
"317",2473,199682,0.052
"318",2475,199904,0.063
"319",2477,200124,0.048
"320",2479,200345,0.021
"321",2491,201635,0.03
"322",2502,202826,0.029
"323",2505,203155,0.024
"324",2505.41,203200,0.024
"325",2508.41,203527,0.023
"326",2509,203592,0.021
"327",2512.41,203980,0.02
"328",2515,204278,0.029
"329",2515.41,204325,0.028
"330",2521,204973,0.022
"331",2524.41,205386,0.032
"332",2525,205458,0.024
"333",2527.41,205760,0.032
"334",2531,206232,0.025
"335",2531.41,206287,0.028
"336",2534.41,206681,0.031
"337",2537.41,207072,0.042
"338",2540.41,207463,0.041
"339",2543.41,207857,0.023
"340",2545,208061,0.029
"341",2546.41,208244,0.023
"342",2549.41,208623,0.031
"343",2555.41,209364,0.028
