"","Depth..corrected.","Ice.age..GT4.","Gas.age","CO2..ppmv."
"185",2870.51,260936,256053,199.9
"186",2872.71,261526,256501,211.7
"187",2876.21,262455,257247,188.7
"188",2881.42,263844,258477,194.2
"189",2884.51,264666,259228,198.9
"190",2887.51,265457,259958,184.7
"191",2890.51,266255,260754,190.4
"192",2893.51,267039,261595,193.9
"193",2896.51,267825,262411,194.2
"194",2899.51,268558,263207,198.4
"195",2902.51,269307,264046,193.2
"196",2905.51,270052,264834,202.2
"197",2911.46,271454,266492,211
"198",2914.51,272171,267434,215.4
"199",2919.41,273256,268679,223.7
"200",2926.51,274802,270680,231.4
"201",2935.51,276731,273012,226.4
"202",2941.51,278017,274445,230.4
"203",2944.51,278711,275218,231
"204",2956.51,281740,277925,220.4
"205",2959.51,282539,278602,217.2
"206",2964.51,283810,279543,207.7
"207",2973.81,286475,282301,212.7
"208",2979.51,288013,283492,213.2
"209",2988.61,290554,286217,224.4
"210",2994.51,292121,287846,236.2
"211",3003.51,294495,290571,240.2
"212",3007.01,295477,291769,240.7
"213",3009.51,296158,292474,250.2
"214",3015.51,297810,293676,244.9
"215",3018.51,298623,294615,225.9
"216",3022.71,299716,295849,227.9
"217",3027.51,300928,297131,233.2
"218",3030.41,301665,298051,237.9
"219",3033.51,302452,299020,239
"220",3036.51,303201,299877,241.9
"221",3039.51,303939,300646,251.7
"222",3042.51,304745,301496,256.8
"223",3045.51,305612,302456,257.2
"224",3048.56,306561,303334,246.9
"225",3051.51,307464,303953,272.7
"226",3054.51,308358,304590,251.7
"227",3057.71,309281,305306,244.7
"228",3063.51,310905,307131,255.9
"229",3066.51,311704,308101,249.2
"230",3072.51,313292,310039,256.3
"231",3075.41,314032,310930,260.4
"232",3078.51,314822,311774,260.3
"233",3084.51,316304,313493,266.3
"234",3090.51,317775,315143,266.2
"235",3093.51,318509,315940,270.2
"236",3096.46,319231,316681,271.9
"237",3099.51,319978,317445,275.2
"238",3105.51,321448,318980,265
"239",3109.01,322216,319754,271.8
"240",3111.51,322746,320378,272.7
"241",3114.81,323441,321386,273.2
"242",3117.51,324021,322111,282.4
"243",3119.51,324461,322582,289.2
"244",3120.61,324711,322827,288.4
"245",3123.51,325400,323485,298.7
"246",3126.51,326200,324189,278.2
"247",3129.91,327237,324991,285.8
"248",3132.41,328058,325527,278.7
"249",3135.51,329135,326239,270.5
"250",3138.51,330278,327114,255.7
"251",3141.51,331513,328097,241.9
"252",3145.01,333111,329267,239.7
"253",3147.51,334356,330208,234.2
"254",3153.51,337304,332293,250.2
"255",3156.51,338770,333627,200.7
"256",3159.51,340242,335290,205.2
"257",3162.81,341849,336972,204.9
"258",3169.01,344844,340165,220.4
"259",3174.51,347589,342998,221.2
"260",3177.81,349298,344735,216.2
"261",3183.41,352377,347610,209.2
"262",3189.51,355795,350765,193
"263",3192.51,357450,352412,186.2
"264",3200.01,361445,356838,201.2
"265",3204.71,363962,359688,206.4
"266",3210.51,367048,362766,201.9
"267",3216.45,370095,366221,214.7
"268",3222.51,373629,369563,229.7
"269",3228.91,377177,373014,227
"270",3231.51,378469,374561,240
"271",3237.51,381834,378194,246.9
"272",3240.51,383395,379633,245.9
"273",3249.51,388757,384909,264.7
"274",3252.45,390641,386579,259.3
"275",3258.51,394634,390589,255.2
"276",3261.51,396423,392451,250.2
"277",3264.51,398091,394628,266.3
"278",3267.51,399733,396713,274.7
"279",3273.81,403173,400390,278
"280",3283.51,408236,405844,279.7
"281",3289.45,411202,409022,283.7
"282",3292.91,413010,410831,276.3
"283",3299.01,416332,414085,285.5
