"","Depth.corrected","Ice.age..GT4.","Gas.age","CH4..ppbv."
"207",1987.4,141257,135683,357
"208",1994.7,142075,136367,374
"209",1998,142440,136659,377
"210",2005.9,143326,137393,348
"211",2009.4,143720,137686,339
"212",2016.4,144496,138408,318
"213",2030.9,146122,140072,319
"214",2042.5,147403,141422,345
"215",2063.7,149756,143980,355
"216",2088.6,152467,146784,356
"217",2102.4,154026,148566,400
"218",2109,154786,149406,418
"219",2116,155625,150303,410
"220",2119,155987,150633,376
"221",2127.2,156981,151441,395
"222",2137.1,158157,152562,445
"223",2143,158819,153173,414
"224",2153.4,159908,154129,382
"225",2164,161077,155299,377
"226",2167.2,161450,155706,406
"227",2177.3,162574,157299,403
"228",2180.4,162912,157806,381
"229",2196.4,164820,159791,376
"230",2225,168391,162996,405
"231",2247,170922,165278,420
"232",2273,174105,169266,478
"233",2302,177644,172596,456
"234",2312.3,179000,174189,402
"235",2325,180546,175440,468
"236",2348,183525,178550,503
"237",2363,185640,180779,522
"238",2373,187067,181718,464
"239",2386,188892,183355,470
"240",2399,190587,185063,510
"241",2414,192382,187199,445
"242",2425,193816,189335,440
"243",2437,195298,191057,414
"244",2475,199904,195625,460
"245",2501,202717,199292,558
"246",2525,205458,202212,612
"247",2543,207803,204283,482
"248",2552,208947,205148,425
"249",2554.9,209310,205439,421
"250",2557.7,209648,205715,413
"251",2560.9,210056,206122,436
"252",2564.9,210526,206675,466
"253",2567.5,210840,207033,463
"254",2570.4,211178,207418,455
"255",2574.2,211628,207991,496
"256",2575.5,211784,208183,475
"257",2579.9,212295,208796,476
"258",2581.9,212531,209078,485
"259",2584.7,212846,209414,515
"260",2588.5,213282,209975,473
"261",2590.4,213503,210237,498
"262",2595.1,214036,210830,567
"263",2596.7,214219,211005,503
"264",2600.4,214642,211481,509
"265",2603.7,215011,211929,586
"266",2606.6,215343,212281,551
"267",2609.7,215685,212662,554
"268",2612.5,216019,213010,545
"269",2615.5,216377,213385,569
"270",2621.7,217099,214153,581
"271",2629,217944,214996,558
"272",2633.5,218492,215504,568
"273",2636.7,218908,215879,586
"274",2639.5,219276,216310,544
"275",2643.7,219835,216923,557
"276",2646.4,220230,217253,541
"277",2649.4,220678,217577,483
"278",2656.2,221718,218342,440
"279",2659.5,222273,218767,436
"280",2666.7,223548,219680,476
"281",2669.4,224060,220047,473
"282",2674.6,224993,220760,498
"283",2676.9,225380,220997,480
"284",2682.6,226339,221612,482
"285",2691,227885,222958,494
"286",2693.6,228349,223446,532
"287",2698,229167,224630,532
"288",2700.5,229641,225136,512
"289",2702.9,230076,225535,506
"290",2705.6,230547,225888,497
"291",2707.9,230945,226213,483
"292",2711.8,231619,226726,484
"293",2714.7,232092,227224,476
"294",2717.7,232571,227840,445
"295",2732.5,234771,230668,439
"296",2735.7,235233,231383,460
"297",2738.7,235652,231990,495
"298",2741.9,236109,232615,502
"299",2744.8,236498,233139,514
"300",2747.6,236866,233646,541
"301",2751.1,237301,234126,540
"302",2753.6,237602,234470,550
"303",2756.2,237889,234781,540
"304",2759.2,238213,235222,554
"305",2765.2,238907,236234,582
"306",2771.2,239672,237466,619
"307",2773.5,240010,237834,631
"308",2776.5,240465,238199,650
"309",2780,241055,238623,500
"310",2782.8,241549,238943,554
"311",2785.5,242091,239249,538
"312",2788.5,242675,239545,522
"313",2794.6,243821,240205,498
"314",2797.5,244444,240576,484
"315",2800.5,245091,240966,470
"316",2806.5,246378,242067,509
"317",2815.6,248369,243657,402
"318",2818.5,249027,244198,437
"319",2821.5,249668,244861,401
"320",2824.5,250307,245481,380
"321",2830.4,251542,246709,405
"322",2833.8,252268,247436,399
"323",2836.5,252876,248083,424
"324",2839.5,253557,248977,447
"325",2842.4,254218,249751,465
