 72 L3      0.231000
 73 K       0.980
 73 L1      0.137000
 73 L2      0.258000
 73 L3      0.243000
 74 K       0.958000
 74 L1      0.147000
 74 L2      0.270000
 74 L3      0.255000
 75 K       0.959000
 75 L1      0.144000
 75 L2      0.283000
 75 L3      0.268000
 76 K       0.961000
 76 L1      0.130000
 76 L2      0.295000
 76 L3      0.281000
 77 K       0.962000
 77 L1      0.120000
 77 L2      0.308000
 77 L3      0.294000
 78 K       0.963000
 78 L1      0.114000
 78 L2      0.321000
 78 L3      0.306000
 79 K       0.964000
 79 L1      0.107000
 79 L2      0.334000
 79 L3      0.320000
 80 K       0.980
 80 L1      0.107000
 80 L2      0.347000
 80 L3      0.333000
 81 K       0.966000
 81 L1      0.107000
 81 L2      0.360000
 81 L3      0.347000
 82 K       0.967000
 82 L1      0.112000
 82 L2      0.373000
 82 L3      0.360000
 83 K       0.968000
 83 L1      0.117000
 83 L2      0.387000
 83 L3      0.373000
 84 K       0.968000
 84 L1      0.122000
 84 L2      0.401000
 84 L3      0.386000
 85 K       0.969000
 85 L1      0.128000
 85 L2      0.415000
 85 L3      0.399000
 86 K       0.969000
 86 L1      0.134000
 86 L2      0.429000
 86 L3      0.411000
 87 K       0.970000
 87 L1      0.139000
 87 L2      0.443000
 87 L3      0.424000
 88 K       0.970000
 88 L1      0.146000
 88 L2      0.456000
 88 L3      0.437000
 89 K       0.971000
 89 L1      0.153000
 89 L2      0.468000
 89 L3      0.450000
 90 K       0.971000
 90 L1      0.161000
 90 L2      0.479000
 90 L3      0.463000
 91 K       0.972000
 91 L1      0.162000
 91 L2      0.472000
 91 L3      0.476000
 92 K       0.972000
 92 L1      0.176000
 92 L2      0.467000
 92 L3      0.489000
 93 K       0.972
 93 L1      0.187000
 93 L2      0.466000
 93 L3      0.502000
 94 K       0.972
 94 L1      0.205000
 94 L2      0.464000
 94 L3      0.514000
