72  F1       0.465
72  F12      0.18
72  F13      0.28
72 FP13   2.3E-03
72  F23     0.135
73  F1       0.457
73  F12      0.18
73  F13      0.28
73 FP13   2.6E-03
73  F23     0.134
74  F1       0.447
74  F12      0.17
74  F13      0.28
74 FP13   2.8E-03
74  F23     0.133
75  F1       0.485
75  F12      0.16
75  F13      0.33
75 FP13   3.0E-03
75  F23     0.130
76  F1       0.552
76  F12      0.16
76  F13      0.39
76 FP13   2.9E-03
76  F23     0.128
77  F1       0.603
77  F12      0.15
77  F13      0.45
77 FP13   2.8E-03
77  F23     0.126
78  F1       0.640
78  F12      0.14
78  F13      0.50
78 FP13   2.8E-03
78  F23     0.124
79  F1       0.672
79  F12      0.14
79  F13      0.53
79 FP13   2.8E-03
79  F23     0.122
80  F1       0.690
80  F12      0.13
80  F13      0.56
80 FP13   3.0E-03
80  F23     0.120
81  F1       0.786
81  F12      0.13
81  F13      0.57
81 FP13   3.2E-03
81  F23     0.118
82  F1       0.696
82  F12      0.12
82  F13      0.58
82 FP13   3.5E-03
82  F23     0.116
83  F1       0.694
83  F12      0.11
83  F13      0.58
83 FP13   3.8E-03
83  F23     0.113
84  F1       0.689
84  F12      0.11
84  F13      0.58
84 FP13   4.2E-03
84  F23     0.111
85  F1       0.685
85  F12      0.10
85  F13      0.59
85 FP13   4.7E-03
85  F23     0.111
86  F1       0.682
86  F12      0.10
86  F13      0.58
86 FP13   5.2E-03
86  F23     0.110
87  F1       0.677
87  F12      0.10
87  F13      0.58
87 FP13   5.8E-03
87  F23     0.109
88  F1       0.672
88  F12      0.09
88  F13      0.58
88 FP13   6.4E-03
88  F23     0.108
89  F1       0.664
89  F12      0.09
89  F13      0.58
89 FP13   7.1E-03
89  F23     0.108
90  F1       0.660
90  F12      0.09
90  F13      0.57
90 FP13   7.8E-03
90  F23     0.108
91  F1       0.664
91  F12      0.08
91  F13      0.58
91 FP13   8.4E-03
91  F23     0.139
92  F1       0.652
92  F12      0.08
92  F13      0.57
92 FP13   9.7E-03
92  F23     0.167
93  F1       0.642
93  F12      0.07
93  F13      0.57
93 FP13   1.1E-02
93  F23     0.192
94  F1       0.605
94  F12      0.05
94  F13      0.56
94 FP13   1.3E-02
94  F23     0.198
95  F1       0.595
95  F12      0.05
95  F13      0.55
95 FP13   1.4E-02
95  F23     0.203
96  F1       0.587
96  F12      0.04
96  F13      0.55
96 FP13   1.6E-02
96  F23     0.200
97  F1       0.580
97  F12      0.04
97  F13      0.54
97 FP13   1.7E-02
97  F23     0.198
98  F1       0.573
98  F12      0.03
98  F13      0.54
98 FP13   1.9E-02
98  F23     0.197
